timestamp_ms,rss_bytes,process_cpu_time_s,minor_faults,major_faults,jitter_min_ns,jitter_avg_ns,jitter_max_ns,rt_loop_cpu_time_s,rx_bytes_per_s,tx_bytes_per_s,rt_nr_switches,rt_nr_voluntary_switches,rt_nr_involuntary_switches
1769774287893,22343680,156.120000,2232,0,411,4204,1824516 ,,149027.231,125355.839,624169,118828,505341
1769774288934,22396928,158.200000,2245,0,361,1474,576610 ,,114155.790,119465.831,632437,120374,512063
1769774289975,22396928,160.270000,2245,0,361,818,40516 ,,106097.011,113901.849,640804,121911,518893
1769774291017,22306816,162.370000,2245,0,391,790,5270 ,,105929.999,113848.491,649102,123449,525653
1769774292058,22306816,164.450000,2245,0,361,810,40156 ,,107249.870,118453.245,657438,125002,532436
1769774293099,22564864,166.540000,2308,0,351,782,3738 ,,105566.890,113555.736,665731,126565,539166
1769774294143,22564864,168.610000,2308,0,401,849,6703 ,,106014.845,114280.871,674035,128110,545925
1769774295186,22347776,170.710000,2308,0,391,4077,1195298 ,,105253.093,113081.265,682409,129647,552762
1769774296229,22401024,172.790000,2321,0,362,803,15589 ,,105754.706,115415.001,690707,131214,559493
1769774297270,22401024,174.870000,2321,0,391,831,15630 ,,105766.086,113862.938,699030,132765,566265
1769774298314,22306816,176.960000,2321,0,382,793,6593 ,,106192.041,113794.912,707323,134304,573019
1769774299358,22306816,179.060000,2321,0,401,19219,2762161 ,,103980.324,115887.426,715404,135815,579589
1769774300399,22564864,181.120000,2384,0,371,811,6582 ,,106038.451,113737.293,723691,137359,586332
1769774301442,22564864,183.200000,2384,0,411,1021,184857 ,,106323.148,117664.552,731983,138905,593078
1769774302499,22343680,185.290000,2384,0,391,866,5140 ,,1240992.354,132836.498,740414,140464,599950
1769774303542,22396928,187.430000,2397,0,391,2233,936744 ,,105414.322,115309.257,748777,142010,606767
1769774304585,22396928,189.510000,2397,0,391,808,5100 ,,105866.245,114149.277,757095,143549,613546
1769774305634,22306816,191.590000,2397,0,401,6790,2923874 ,,105407.221,113118.527,765441,145100,620341
1769774306676,22306816,193.690000,2397,0,391,834,12493 ,,106546.343,116106.423,773780,146650,627130
1769774307719,22568960,195.780000,2461,0,421,4312,2038387 ,,105528.119,113868.549,782022,148201,633821
1769774308763,22568960,197.850000,2461,0,391,2335,722584 ,,105700.675,113599.107,790450,149740,640710
1769774309808,22343680,199.950000,2461,0,391,2665,645840 ,,105955.785,113349.563,798689,151290,647399
1769774310851,22396928,202.040000,2474,0,381,2630,1362671 ,,105331.990,115671.315,807003,152835,654168
1769774311895,22396928,204.130000,2474,0,451,2231,759793 ,,105756.625,113576.887,815532,154392,661140
1769774312951,22396928,206.210000,2474,0,411,3764,2600769 ,,105515.180,113193.657,824229,155990,668239
1769774313995,22306816,208.350000,2474,0,422,8409,1811873 ,,104727.591,114764.504,832316,157517,674799
1769774323108,0,0.000000,0,0,0,0,0 ,,0.000,0.000,4,3,1
1769774324108,14438400,0.000000,593,0,11492,20259,2452982 ,,0.000,0.000,3898,3749,149
